Symbol,Description
02NG.L,STATOILHYDRO ASA 6.125% NOTES 27/11/28 GBP(VAR)
0A0B.L,AHLERS AG ORD NPV
0A0C.L,AHLERS AG NON VTG PREF NPV
0A1H.L,MILANO ASSICURAZIONI DI RISP EUR0.52(NON CV)
0A1U.L,
0A2K.L,AGUAS DE SABADELL SER`A`EUR12.02
0A2L.L,AGUAS DE SABADELL SER`B`EUR12.02
0A3R.L,ALANDSBANKEN `A`NPV
0A3T.L,ALANDSBANKEN `B`NPV
0A5J.L,ANEK LINES SA EUR1.61(PREF REGD)`1990`
0A60.L,AMPER SA EUR1(REGD)
0A6L.L,C. ROKAS SA EUR0.50(REGD)
0AA3.L,BAM GROEP NV(KONINKLIJKE) EUR0.1 CUM CNV PFD `F`
0AH7.L,BAYWA AG NPV(VINK)
0AHI.L,CRCAM NORD DE FRANCE EUR3.05
0AI3.L,CARLSBERG `A`DKK20
0AI4.L,CARLSBERG `B`DKK20
0APM.L,DANIELI & C EUR1
0B67.L,GALP ENERGIA SGPS EUR1 CLS`B`
0BJP.L,IMPREGILO SPA NPV
0BNS.L,KESKO OYJ NPV SER`A`
0BNT.L,KESKO OYJ NPV SER`B`
0BOE.L,KLONATEX GROUP OF COS EUR1.20 PRF
0BQD.L,KSB AG NPV
0BQE.L,KSB AG NON VTG PRF
0CHZ.L,QSC AG NPV
0CIJ.L,RAISIO YHTYMA OYJ NPV(CNV)`V`
0CX9.L,STORA ENSO OYJ SER`A`NPV(EURO QUOTE)
0CXC.L,STORA ENSO OYJ SER`R`NPV
0D53.L,FINANCIERE DE TUBIZE NPV
0DH7.L,AF GRUPPEN ASA NOK0.05
0DHA.L,ARENDALS FOSSEKAMPANI NOK10
0DHC.L,CARL ZEISS MEDITEC AG NPV
0DI7.L,AFC AJAX NV EUR0.45
0DJI.L,ALM. BRAND DKK80
0DJN.L,ALMA MEDIA CORP NPV
0DJV.L,ALTRI SGPS S.A. EUR0.25
0DK7.L,AMANDA CAPITAL OYJ NPV
0DK9.L,AMADEUS AG PERSONALDIENSTLEI NPV
0DKX.L,AEDIFICA NPV
0DLI.L,AMSTERDAM COMMODITIES NV EUR0.45
0DLT.L,AAREAL BANK EUR26
0DME.L,ASCOPIAVE SPA EUR1
0DMM.L,A.S.G.(ANDY SPYROU)GROUP EUR0.35
