tick,exchange,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,RSI
AACG,NASDAQ,1.9805810152203225,0.278431862659928,0.7798587260811344,0.099072631,0.2031830363850617,59.34498459528088
AACI,NASDAQ,0.0504188049759045,0.005097943,0.028945739,0.044599786,0.4118888876551155,80.77188968483256
AADI,NASDAQ,0.068263623,0.056736097,0.5378156483757643,0.081514305,0.6876452120212654,74.17427453130688
AAL,NASDAQ,-0.040518687,0.0388614,1.3840727641877342,0.1429036186768797,2.5836335949525715,51.82761201812175
AAME,NASDAQ,0.253093763,0.057609255,0.3238709517819401,0.065994296,0.4078215633965044,50.25523553681011
AAOI,NASDAQ,0.2113914515203268,0.05560935,1.2487601577697125,0.133087751,1.6290021629824545,57.36907062431994
AAON,NASDAQ,0.2286537876678514,0.02360912,0.9021137398919304,0.1079412732385778,2.7718641659398493,39.27712068024866
AAPL,NASDAQ,0.3159314216280363,0.020787551,1.232199345688192,0.1318863938656313,4.2999964710679,47.78170353158426
ABAT,NASDAQ,1.1029317712401276,0.095863582,1.0993486116283402,0.122249115545718,0.8319021012800553,42.04585817400192
ABCB,NASDAQ,0.101040931032749,0.0279993331254855,1.2552655578142633,0.133559666562378,3.252208406331427,63.57905537507943
ABCL,NASDAQ,-0.647795619,0.0445643409047139,0.8089359227035373,0.1011819537373247,1.316791689184783,41.50866792271852
ABCM,NASDAQ,0.1411613779439534,0.0266928862315238,0.5642600455395614,0.083432639,1.533466197150334,67.51776772
ABEO,NASDAQ,-0.293873377,0.065728928,1.1334953481562058,0.1247261933425749,1.25098942,42.608563155074016
ABIO,NASDAQ,0.3017906234188507,0.1198300038863454,0.3858065299131923,0.070487236,0.2335578364369349,40.17604624623666
ABL,NASDAQ,-0.086587622,0.020437833,0.031813419,0.044807814,0.1129187217125934,36.96132620492055
ABLV,NASDAQ,-2.949020763,0.055136981,-0.12247825,0.033615164027506,-0.161141141,41.40368115294739
ABNB,NASDAQ,0.066081705,0.033893867,1.076069549345316,0.1205604022402498,2.303083394541781,37.88224342846791
ABOS,NASDAQ,-0.464520337,0.071248727,0.9934191996391584,0.114564767899249,1.01145340493276,22.03085948843794
ABSI,NASDAQ,-0.746697071,0.061383093,1.544851566975343,0.1545668592405982,1.8256958572943287,64.53936605409874
ABUS,NASDAQ,0.304695113145312,0.06697756,1.0241497185556454,0.1167940259143392,1.109237567992013,53.58574224119363
ABVC,NASDAQ,2.1815787270671474,0.3877245920328646,-0.441854243,0.0104469417433779,-0.082669655,70.10517963205206
ACAB,NASDAQ,0.042194343,0.002529577,-0.009528838,0.041808758,-0.273263996,82.71090586776006
ACAC,NASDAQ,0.072016176,0.004994799,-0.001859439,0.0423651122705099,-0.027005638,72.47816248388806
ACACU,NASDAQ,0.092297689,0.0141682796286255,-0.013160772,0.041545289,-0.067383674,85.84772047330434
ACAD,NASDAQ,0.2433666833604636,0.042762501,0.9138594876307908,0.1087933350720028,1.5502679642860095,49.25238868848618
ACAH,NASDAQ,0.0307562006910183,0.005297375,-0.008125455,0.0419105619952897,-0.111269823,73.7159242
ACAHU,NASDAQ,0.0235857003253442,0.005220623,-0.004614897,0.042165225,-0.064125402,78.91732728517772
ACAX,NASDAQ,0.201442885551122,0.03702937,-0.009641031,0.0418006188739793,-0.0188872,85.97265283767862
ACAXU,NASDAQ,0.2911357587315015,0.049428091,0.000317676,0.0425230449079591,0.000466231,82.74843845964764
ACB,NASDAQ,-0.529833826,0.067036998,1.5062646200250698,0.1517676790184702,1.6299608129526475,37.455959286257446
ACBA,NASDAQ,0.073278549,0.003155498,0.006069671,0.042940307,0.1395364776900533,85.75425290532247
ACCD,NASDAQ,15.802360697254262,1.8283394206417527,2.953070372,0.2567220836878271,0.1171675681600927,55.98280831173516
ACDC,NASDAQ,-0.234415407,0.039582463,0.9239610260090636,0.1095261224178886,1.6933287489534206,58.16374529942133
ACER,NASDAQ,0.009626171,0.071311669,1.2768698740492574,0.1351268901832446,1.2989022883098138,67.8026844
ACET,NASDAQ,-0.17251719,0.0605785641393186,1.082196382988945,0.1210048559458413,1.2959180703804034,50.080077443160704
ACGL,NASDAQ,0.2817673200791097,0.02091739,1.0088727447112684,0.1156858013353319,3.4988017219725034,54.46346227246716
ACGLN,NASDAQ,-0.070581955,0.0111952243652663,0.2697119067268917,0.062065482,1.7476632762166655,65.40623818645167
ACGLO,NASDAQ,0.060281557,0.0117033122194503,0.3707662025239937,0.069396179,2.2981680919058847,68.05308260831595
ACHC,NASDAQ,0.2346795679637929,0.0306019481778376,1.2002120421381723,0.129565965986955,2.845111869381224,44.15340122354128
ACHL,NASDAQ,-0.912218263,0.042699669,0.6054209226980214,0.086418537,1.028545153316191,57.46619336041727
ACHV,NASDAQ,-0.095394988,0.055680635,0.8192672812091066,0.1019314127301228,1.067362339216256,55.13190640038746
ACIC,NASDAQ,0.2661646526952748,0.0577716517495117,0.8191969521158291,0.1019263109062548,1.0286413683291835,69.08843684900225
ACIU,NASDAQ,0.1419287615510792,0.052106018,0.9392600573578066,0.1106359470957597,1.3076406496203177,60.301405312144034
ACIW,NASDAQ,0.062353114,0.0252017660369849,1.136246728014713,0.1249257843621344,3.2706352499729694,62.31676645252639
ACLS,NASDAQ,0.566206743,0.036000481,1.6791903840763738,0.1643120863086495,3.3836238095102456,29.572744604854776
ACLX,NASDAQ,0.8021230748408762,0.0486960449318893,0.6710191654782494,0.091177175,0.999612499,67.98332977609363
ACMR,NASDAQ,0.6682153979614898,0.0543434762531851,1.6207666438022958,0.1600739023836894,2.163532966421121,41.88458918191896
ACNB,NASDAQ,0.1260277745630432,0.0298644808774313,1.1416748747393386,0.1253195538141193,2.773179087023953,62.14676235879536
ACNT,NASDAQ,-0.006289565,0.0370852890005791,0.7899876327944984,0.099807404,1.5452867034296007,50.83822400482795
ACON,NASDAQ,-0.218378309,0.1036228415773407,0.4906990587877979,0.078096366,0.3435185314228673,53.69867042936447
ACOR,NASDAQ,-0.356618469,0.085366456,1.0816596263095513,0.1209659184605049,0.919165704,46.55450116093572
ACRS,NASDAQ,0.4141669698379748,0.082442488,1.0312534848437214,0.1173093484176155,0.9074125565095086,60.25845585532596
ACRV,NASDAQ,-0.755228036,0.05489974,0.4032796436765122,0.071754774,0.5328763632938757,56.871876152541375
ACRX,NASDAQ,-0.570995092,0.0611326310918672,1.1661588282278608,0.1270956725221605,1.3838055227008654,39.20618823273774
ACST,NASDAQ,0.0340009672134979,0.06949537,0.9430615695998942,0.1109117169797037,0.984406833,52.64043584400967
ACT,NASDAQ,0.2498589912797366,0.0181710527516779,0.5789300721013284,0.084496834,2.311194328171957,51.41781596612404
ACTG,NASDAQ,0.1264026809544738,0.028766508,0.6761197016418496,0.091547179,1.7050098248154464,67.96727116498295
ACVA,NASDAQ,-0.125558566,0.038779277,1.1493152650147365,0.1258738041769634,2.149957655040593,51.35405432221122
ACXP,NASDAQ,0.093541218,0.058934689,0.3087751943562489,0.064899217,0.3800684799618481,41.813706110325946
ADAG,NASDAQ,-0.820986973,0.049797573,0.3203799196675254,0.065741049,0.4667104808140267,45.07372473281208
ADAP,NASDAQ,0.1015448222396034,0.085001907,1.2525176882539393,0.1333603301874076,1.0689210734286654,44.94537265774098
ADBE,NASDAQ,0.2410851824407994,0.0237373472467894,1.2880026613609523,0.1359344865473781,3.936180635,61.80754106775874
ADD,NASDAQ,-0.339014728,0.086093294,0.9720799169395108,0.1130167703817406,0.8190739018972525,41.48124661207397
ADEA,NASDAQ,0.3684762665753773,0.040540552,1.0889674782354803,0.1214960457754143,1.9485685637087715,46.80031567
ADES,NASDAQ,-0.086234895,0.0425632780946422,1.0662060202847543,0.1198448806027829,1.817173959928592,57.25845598378005
ADI,NASDAQ,0.2105916594545317,0.022214464,1.2506274432876512,0.1332232077472355,4.083970210839958,47.07840857268867
ADIL,NASDAQ,0.2087265116184657,0.089175557,0.6906636507386555,0.092602228,0.5618381310850152,56.80663901036076
ADMA,NASDAQ,0.1979810799245057,0.048339398,0.8777290058031363,0.1061723521194449,1.317193736362579,53.71702895239257
ADN,NASDAQ,-0.109523082,0.085433744,0.2152069204807759,0.058111573,0.1827331054640387,68.50474923
ADOC,NASDAQ,0.051832602,0.003158167,0.0233278331360583,0.044192251,0.5358333498784578,76.42706654318556
ADP,NASDAQ,0.1488505269967344,0.01788872114385,1.027688051574903,0.1170507042107479,4.167469748745985,31.998549279646525
ADPT,NASDAQ,-0.201819726,0.047578948,1.6055240714218062,0.1589681733609501,2.447892982913641,48.34319537353439
ADSE,NASDAQ,0.034336009,0.039518466,0.2631972571547583,0.061592896,0.4831385832180608,59.96918539096804
ADSK,NASDAQ,0.1616069637348365,0.0253582793879049,1.3605015753769285,0.1411937138840419,3.89197202122142,44.04930246205009
ADTH,NASDAQ,-0.564994153,0.04667787,0.3857449962248165,0.070482773,0.5994869173601309,59.413292128553245
ADTN,NASDAQ,0.016961401,0.032102163,1.0350297727613291,0.1175832884747454,2.3388856773916635,46.17270295
ADTX,NASDAQ,-0.255675589,0.1858515466759152,0.4615160129305347,0.075979365,0.1801403645660064,26.4620037
ADUS,NASDAQ,0.1476857495166461,0.0283067201174021,0.821538603,0.1020961792905206,2.105372118117018,47.82261949733181
ADV,NASDAQ,-0.260530964,0.031616668,0.538042339,0.08153075,1.2344991605785982,41.54949129293546
ADVM,NASDAQ,0.1663149850972854,0.054331831,1.145372229713009,0.1255877679055275,1.529264996940075,37.02234946269391
ADXN,NASDAQ,-0.176961127,0.085497586,0.3814118899483841,0.07016844,0.3236166181438214,40.44249673167941
AEAE,NASDAQ,0.028751625,0.003840667,-0.014460181,0.041451027,-0.27312251,70.37405441637748
AEHL,NASDAQ,-0.114778765,0.071123149,0.8703048329362261,0.1056337866329995,0.8876686013187368,30.497661460619568
AEHR,NASDAQ,0.9678297625012372,0.0631018,1.2617031520977575,0.134026663513955,1.4504604259658205,35.589503895489074
AEI,NASDAQ,-0.773604692,0.080184196,0.8748253794252584,0.1059617168095335,0.791449192,60.712751279200425
AEIS,NASDAQ,0.2531942115881445,0.03005772525878,1.522649312340381,0.1529562598806404,3.674804361596713,43.57148939344482
AEMD,NASDAQ,0.3092867563858178,0.1368123641535927,0.4424627811897845,0.074597203,0.2346074721652292,60.83722000885238
AENT,NASDAQ,-0.509083383,0.045090217277222,0.0289062208840323,0.04459692,0.0465049767804765,73.98700380816294
