tick,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,Average Volume,PE Ratio,EPS
AAL,-0.040518672,0.038861399,1.384072738,0.142903617,2.58363359,52256611,5.01,2.39
AAME,0.25309379,0.057609255,0.323870958,0.065994297,0.407821565,2346,188,0.01
AAOI,0.211391452,0.05560935,1.248760158,0.133087751,1.629002163,2504344,,-2.41
AAON,0.228653748,0.023609116,0.902113352,0.107941245,2.771863459,264880,31.97,1.81
AAPL,0.315931489,0.020787554,1.232199739,0.131886422,4.299997027,79322627,29.59,5.97
ABCB,0.101040859,0.027999329,1.255264847,0.133559615,3.2522071,322833,10.16,4.12
ABIO,0.301790623,0.119830004,0.38580653,0.070487236,0.233557836,34299,,-0.37
ACAD,0.243366683,0.042762501,0.913859488,0.108793335,1.550267964,2694495,,-0.69
ACET,-0.17251719,0.060578564,1.082196383,0.121004856,1.29591807,384392,,-2.72
ACFN,3.86508259,0.480431985,0.452871277,0.075352258,0.068380663,1115,,-0.16
ACGL,0.28176732,0.02091739,1.008872745,0.115685801,3.498801722,2602430,11.04,7.75
ACHC,0.234679568,0.030601948,1.200212042,0.129565966,2.845111869,1430931,24.49,2.95
ACIW,0.062353114,0.025201766,1.136246728,0.124925784,3.27063525,761447,38.24,0.63
ACLS,0.566206743,0.036000481,1.679190384,0.164312086,3.38362381,774276,18.76,6.99
ACNB,0.126027752,0.029864481,1.141674617,0.125319535,2.773178492,14458,8.16,4.43
ACOR,-0.356618469,0.085366456,1.081659626,0.120965918,0.919165704,693,1.09,9.43
ACRX,-0.570995092,0.061132631,1.166158828,0.127095673,1.383805523,176826,,-3.3
ACST,0.034000967,0.06949537,0.94306157,0.110911717,0.984406833,8515,,-5.63
ACTG,0.126402681,0.028766508,0.676119702,0.091547179,1.705009825,326738,,-0.33
ACUR,119.5206262,10.25463531,-14.94950212,-1.041969075,-0.105754036,51,,-0.02
ADBE,0.241085182,0.023737347,1.288002661,0.135934487,3.936180635,1819702,50.69,11.12
ADES,-0.086234844,0.042563279,1.066206003,0.119844879,1.817173904,36498,,-0.83
ADI,0.210591647,0.022214465,1.250627221,0.133223192,4.083969227,3536598,22.85,7.35
ADMA,0.19798108,0.048339398,0.877729006,0.106172352,1.317193736,2106785,,-0.19
ADP,0.148850571,0.017888725,1.027687873,0.117050691,4.167468107,2159149,26.08,8.41
ADSK,0.161606964,0.025358279,1.360501575,0.141193714,3.891972021,1190028,50.74,4.02
ADTN,0.016961423,0.032102168,1.035029729,0.117583285,2.338885213,834968,,-0.92
ADUS,0.14768575,0.02830672,0.821538603,0.102096179,2.105372118,60013,23.99,3.53
AEHR,0.967829763,0.0631018,1.261703152,0.134026664,1.450460426,1127790,38.28,0.64
AEIS,0.253194169,0.030057722,1.522648978,0.152956236,3.674803948,344389,25.14,3.65
AEY,-0.009545439,0.048994486,0.950546494,0.11145469,1.407396934,8494,,-0.07
AEZS,-0.1390449,0.081923902,0.996936679,0.114819933,0.882769644,13552,,-4.66
AFMD,-0.222053037,0.046113343,1.261788983,0.13403289,1.984954544,913114,,-0.78
AGEN,0.126452662,0.047944722,1.166341462,0.127108921,1.764718154,13521812,,-0.84
AGIO,-0.09351437,0.034335232,1.084117837,0.121144242,2.290482351,2227815,,-3.79
AGNC,0.013086357,0.019613333,0.769618022,0.098329749,2.846520215,22556012,,-0.12
AGNCP,0.093692867,0.025867253,0.702679798,0.093473906,1.970596,71355,,-1.86
AGRX,-0.582949854,0.092469614,0.927823221,0.109806294,0.727874718,39649,0.01,137.91
AGYS,0.477048328,0.032409678,1.013097285,0.115992259,2.267602216,173623,191.62,0.47
AIRT,0.557823646,0.094322451,0.695409431,0.092946498,0.534830224,1005,,-4.01
AKAM,0.126780937,0.018175158,0.724844973,0.095081815,2.893059555,1960592,35.57,3.05
AKBA,0.154419293,0.062755098,1.535112152,0.153860341,1.774522625,2215178,,-0.52
ALCO,0.032048711,0.022061954,0.713686778,0.094272376,2.346681319,25943,,-2.67
ALDX,0.151492447,0.058657336,1.442665737,0.147154079,1.784160098,2273331,,-0.89
ALGN,0.121886945,0.035245001,1.548973325,0.15486586,3.188136087,2162027,41.92,4.71
ALGT,0.020886137,0.033271571,1.420528097,0.145548167,3.097183663,448859,7.92,8.18
ALIM,0.323112988,0.056000005,0.97539156,0.113257004,1.263517807,6709,,-1.65
ALKS,0.002276698,0.026423418,0.775394178,0.098748763,2.128746707,1558668,19.99,1.24
ALLT,-0.15415017,0.033748449,0.984901047,0.113946843,2.117040802,140705,,-1.38
ALNY,0.23795112,0.031081903,0.830702716,0.102760964,1.938779711,653420,,-4.1
ALOT,0.056493407,0.030787003,0.786971805,0.099588629,1.854309433,1914,112.75,0.12
ALTR,0.216228642,0.025788592,1.158289056,0.126524782,3.258215164,542690,,-0.57
AMAT,0.394533786,0.028974133,1.58825059,0.157715118,3.976481931,5548055,18.44,7.58
AMBA,0.241401337,0.038174957,1.611637004,0.159411619,3.062521289,537757,,-2.49
AMBC,0.018944216,0.030955359,1.004743629,0.115386266,2.354560513,395965,1.23,10.14
AMCF,5.239659421,0.26018216,1.026901238,0.116993627,0.286313354,22900,,0
AMCX,-0.143302055,0.03670642,0.990799267,0.114374712,1.95809651,767878,,-0.2
AMD,0.488875231,0.034602245,1.607250231,0.159093393,3.3695326,65433738,1020.45,0.11
AMED,0.056452474,0.026878641,0.905375995,0.108177924,2.443498704,187546,1147.88,0.08
AMGN,0.116515733,0.016163989,0.647245965,0.089452616,2.904766682,2371729,19.21,14.05
AMKR,0.392733438,0.035320782,1.572490494,0.156571847,3.229595704,1245696,14.53,1.64
AMNB,0.1317541,0.026834197,1.032890882,0.117428129,2.792262701,65123,14.97,2.84
AMPH,0.257880328,0.025417407,0.709478926,0.093967129,2.024877283,354569,24.02,1.94
AMRK,0.453407982,0.032016606,0.500788867,0.078828303,1.134670636,194525,4.3,6.34
AMRN,-0.340673469,0.049459175,1.208220967,0.130146951,1.772106993,2615413,,-0.12
AMSC,0.318563278,0.051778755,1.464044264,0.148704923,2.051129339,584190,,-0.87
AMSF,0.040798565,0.018764778,0.686465526,0.092297687,2.65378502,68047,15.58,3.31
AMSWA,0.111184812,0.028705929,0.929828611,0.10995177,2.349750433,214751,33.55,0.33
AMTX,1.063263517,0.081050405,1.202679121,0.129744933,1.076428091,311337,,-3.98
AMWD,0.158249495,0.033477951,1.525039105,0.153129621,3.304551684,88727,10.87,6.69
AMZN,0.172015519,0.022900731,1.103260604,0.1225329,3.494774838,43331014,72.57,1.91
ANDE,0.203900409,0.030525735,0.888774721,0.106973632,2.112107462,204466,24.89,2.12
ANGI,-0.261775243,0.042459953,1.145063326,0.125565359,1.956322472,531611,,-0.21
ANGO,-0.114458972,0.030844995,0.969054447,0.112797296,2.279050352,537927,45.4,0.15
ANIK,-0.01991558,0.030442845,0.872221877,0.105772853,2.078414573,262558,,-1.51
ANIP,0.190111986,0.035350952,1.054597486,0.119002773,2.164093719,197948,,-0.48
ANSS,0.179083309,0.022446664,1.283495431,0.135607522,4.147944785,783145,51.94,5.54
ANTH,17.87032266,2.246380295,-2.360589467,-0.128742243,-0.0762303,250,,-0.01
ANY,0.318275103,0.091737268,1.071457231,0.120225815,0.847265418,166595,,-15.19
AOSL,0.368760352,0.039953654,1.583291796,0.157355396,2.874715692,98779,61.45,0.42
