tick,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,Average Volume,PE Ratio,EPS
A,0.14101841,0.018609355,0.972456852,0.113044114,3.790787732,2505992,28.54,3.82
AA,0.123349647,0.038938673,1.541987157,0.154359069,2.872698525,5372906,,-4.99
AAC,0.037384237,0.005573019,0.02219106,0.044109787,0.288853726,280129,,-0.1
AAN,-0.260628269,0.03767823,0.764142041,0.097932509,1.471207898,228436,24.9,0.3
AAP,-0.144341341,0.024161831,0.900962687,0.107857773,2.705000819,2526348,9.87,5.79
AAT,-0.051011321,0.023520725,1.026558111,0.116968736,3.166090111,306095,24.33,0.82
AB,0.134274801,0.024885244,1.184206764,0.128404909,3.452042047,392473,12.85,2.21
ABBV,0.181111923,0.016382237,0.597940534,0.085875894,2.647739428,5414486,38.75,3.65
ABEV,-0.001237065,0.02505007,0.807392397,0.101069983,2.338116499,23778346,15.88,0.17
ABG,0.337802463,0.030432887,1.225354208,0.131389833,2.920847877,159101,5.02,41.81
ABM,0.135228011,0.024295218,1.034517101,0.117546098,3.088924677,386548,11.48,3.56
ABR,0.197440151,0.030068682,1.104813691,0.122645564,2.665416645,7227389,7.28,1.77
ABT,0.108408962,0.016913737,0.830321467,0.102733307,3.561206351,5597030,32.6,2.94
ACCO,0.02281313,0.027992981,0.968364409,0.112747239,2.50945901,989247,,-0.28
ACI,0.179697388,0.023693753,0.233442264,0.059434405,0.714720221,1123264,10.87,2.02
ACM,0.238196069,0.021579769,1.091765812,0.121699043,3.670059824,572149,56.84,1.39
ACN,0.182902873,0.018058708,1.08663296,0.121326695,4.365024032,2141078,29.08,10.78
ACP,-0.018791128,0.017201402,0.648968086,0.089577542,2.736843368,318307,,-0.52
ACRE,0.134363741,0.035626008,1.321262881,0.138347254,2.69037312,764425,,-0.12
ACT,0.188446118,0.018573311,0.578620139,0.084474351,2.259928246,319424,6.79,4.16
ADC,0.066168894,0.017586016,0.714291901,0.094316273,2.946447502,909788,34.69,1.7
ADM,0.142452751,0.017650913,0.809497073,0.101222661,3.326890779,2304958,10.14,7.19
ADPT,-0.201819726,0.047578948,1.605524071,0.158968173,2.447892983,2049102,,-1.32
ADT,0.133467203,0.034175146,1.105173933,0.122671697,2.345906493,3383939,,0
ADX,0.114677225,0.013629077,0.941891854,0.110826863,5.013315649,145546,5.41,3.15
AEE,0.087911898,0.016171919,0.668065367,0.0909629,2.996731644,1124270,18.39,4.27
AEG,0.087468527,0.026466104,1.131961313,0.124614911,3.102644499,1547503,,-0.73
AEL,0.261252893,0.035128417,1.518047598,0.152622442,3.134853503,919803,315.53,0.17
AEM,0.140998688,0.024324535,0.335743819,0.06685558,1.001276256,3449843,9.55,5.18
AEO,0.126501287,0.034389305,1.262344356,0.134073178,2.662838899,2911199,17.82,1.04
AEP,0.06772877,0.01521759,0.574703525,0.084190231,2.739608052,4135639,18.28,4.36
