,tick,exchange,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,RSI,labels
31,ACCD,NASDAQ,15.802360697254262,1.8283394206417527,2.953070372,0.2567220836878271,0.1171675681600927,55.98280831173516,2
344,ATXG,NASDAQ,18.24349435,2.4560218303592243,-2.535542258,-0.141433695,-0.074890904,52.03700212466895,2
1440,GLG,NASDAQ,9.471951205275523,1.4202670716746923,-0.564634693,0.001540184,-0.028839517,19.754074015339825,2
1930,KWE,NASDAQ,19.326710699592176,2.1479907547533617,-1.635999695,-0.076178941,-0.055251141,48.93119121128379,2
2222,MNMD,NASDAQ,11.50470477347511,1.3388359708459951,1.3334752079314394,0.1392331629929111,0.072251691,54.31930487358496,2
3098,SILO,NASDAQ,14.114039516816412,1.565822175837276,2.5360708261896305,0.2264720387242337,0.1174922935459514,59.18262519028298,2
3170,SNTG,NASDAQ,13.828542947496471,1.4052497237384745,3.7826943832500977,0.3169047959428687,0.1952711972167141,44.20259125348128,2
3414,TPST,NASDAQ,7.219938251225423,1.1230575487799306,1.5190898722755468,0.1526980504336952,0.098123244,59.263332489777525,2
3719,XBIOW,NASDAQ,13.762543467519594,0.7319475838940045,0.1229339198783,0.051417891,0.0121837840048404,76.69237494946665,2
4879,HLGN,NYSE,14.772515601045894,1.599112391065776,1.872148236994557,0.178309664460891,0.084928155,61.94125559299249,2
0,AACG,NASDAQ,1.9805810152203225,0.278431862659928,0.7798587260811344,0.099072631,0.2031830363850617,59.34498459528088,5
20,ABVC,NASDAQ,2.1815787270671474,0.3877245920328646,-0.441854243,0.0104469417433779,-0.082669655,70.10517963205206,5
120,AHI,NASDAQ,2.079571357677436,0.2915042957534784,0.5245409089007267,0.080551327,0.1305343612242644,28.93537568247657,5
125,AIMD,NASDAQ,3.215725327407194,0.189664632364322,0.3860149316860083,0.070502354,0.1476414132261241,67.69971021,5
230,APCX,NASDAQ,8.564099236,0.3985594558989581,-0.70064534,-0.008326322,-0.127525068,52.01826596977776,5
246,APRE,NASDAQ,3.161952189239373,0.5126095217265476,0.6475033676028504,0.089471289,0.091631713,28.90674094776618,5
249,APTO,NASDAQ,2.589660776996761,0.3913203783454775,1.0686320747863185,0.1200208718204175,0.1981007790807616,44.82824021323699,5
409,BBLGW,NASDAQ,10.967231351411188,0.7760310365040066,-0.267503664,0.0230947081974517,-0.025005819,50.61337642861226,5
437,BETS,NASDAQ,1.459881808661626,0.278142197,0.9722435852067356,0.1130286432302766,0.2535704540735317,16.075468911410596,5
446,BGLC,NASDAQ,3.355404064061106,0.2325781588646238,-0.065225585,0.037768396,-0.020344148,31.11311002603523,5
546,BRTX,NASDAQ,2.9163957142485115,0.2311236252016283,-0.390415834,0.0141783946794965,-0.122538772,26.010467550153933,5
560,BTCS,NASDAQ,2.4961219036687616,0.2689797699550585,0.9446625209569874,0.1110278534385207,0.2547695443786364,57.45547410812379,5
561,BTCT,NASDAQ,3.290087709,0.5870640928843126,0.1857796012799738,0.055976852,0.0229563560173845,54.37623814711854,5
675,CELZ,NASDAQ,1.6148851845440109,0.2400651947061486,0.009526582,0.043191079,0.002878713,49.09313930126346,5
698,CFIVW,NASDAQ,2.352556328561474,0.276651248,0.3384421526363599,0.067051323,0.088744666,87.96992438935736,5
813,CNVS,NASDAQ,2.997012791865568,0.4204255153888254,1.113861203892068,0.1233018902389008,0.1921907383860187,65.54242985255777,5
868,CRIS,NASDAQ,3.7663869382132167,0.4756310022446203,0.4846645311154171,0.077658609,0.073919927,63.96356679920636,5
