tickers,weights
ALTUW,0.00336
AMPGW,0.00283
AONC,0.00862
APDN,0.00016
APWC,0.00236
ASPA,0.01331
ASPAU,0.00831
ATHE,0.002
BANL,0.00864
BHRB,0.03155
BLTE,0.02213
BSQR,0.00028
BYRN,0.00715
CAAS,0.00088
CAUD,0.01331
CETXP,0.00054
CHCI,0.00314
CHKEW,0.01288
CHKEZ,0.01167
CLINW,0.00411
CODX,0.00183
CXAI,0.00231
CYCCP,0.01005
ENGN,0.01727
EPSN,0.00822
ESOA,0.00514
FATBB,0.00676
FEMY,0.00153
FRBN,0.01455
FRBNU,0.00567
GCT,0.00811
GDTC,0.02983
GPCR,0.03028
GTEC,0.00211
GWAV,0.00189
HOVNP,0.00832
ICG,0.03583
IPX,0.0106
IZM,0.02564
KOSS,0.00151
KXIN,0.00082
LIBYW,0.00705
LIVE,0.00486
LIXT,0.00045
LUNR,0.0049
MATH,0.00296
MCVT,0.00312
METCB,0.03806
MIGI,0.00071
MSS,0.0446
NCRA,0.00995
NEOV,0.01319
NTRBW,0.00581
NVCT,0.01064
NWGL,0.04102
OSAAW,0.00181
PCTTU,0.00311
PNT,0.00915
POCI,0.00211
PRPH,0.00696
QRHC,0.00317
REAX,0.01014
RTC,0.00142
SCWO,0.00273
SKGRW,0.00769
SPPL,0.04836
TGVCW,0.00239
TOMZ,0.00393
TPCS,0.0028
TRMD,0.00561
TSRI,0.00756
VERY,0.01047
WALDW,0.00872
WFCF,0.00085
WHLM,0.00368
YGMZ,0.00046
BBAI,0.00178
CR,0.0391
KFS,0.01791
KGS,0.0468
LRN,0.00869
SN,0.04218
AAPL,0.00548
APLD,0.00169
AVGO,0.00063
CCRN,0.0007
CDNS,0.00313
CPRT,0.00755
CRDO,0.0116
GOGO,0.00107
HWKN,0.01018
IESC,0.00084
INBX,0.00099
KROS,0.00224
LYTS,0.00602
MRUS,0.00115
NSSC,0.00226
NUVL,0.00071
PANW,0.0017
PDFS,0.00037
PETV,0.00025
POWL,0.00199
PRZO,0.01019
RMBS,0.00011
SNPS,0.0044
USEA,0.00379
CARR,0.00976
ELF,0.00096
ETN,0.00341
FICO,0.00157
FN,0.00299
KNSL,0.00575
MCK,0.01996
MSCI,0.00012
RS,0.00394
